delito,CATEGORÍA DE DELITO,DICCIONARIO,
ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
PLAGIO O SECUESTRO,SECUESTRO,SECUESTRO,
VIOLACION,VIOLACI√ìN,CRIMEN SEXUAL,
VIOLACION EQUIPARADA,VIOLACI√ìN,CRIMEN SEXUAL,
VIOLACION EQUIPARADA POR CONOCIDO,VIOLACI√ìN,CRIMEN SEXUAL,
VIOLACION EQUIPARADA Y ROBO DE VEHICULO,VIOLACI√ìN,CRIMEN SEXUAL,
VIOLACION TUMULTUARIA,VIOLACI√ìN,CRIMEN SEXUAL,
VIOLACION TUMULTUARIA EQUIPARADA POR CONOCIDO,VIOLACI√ìN,CRIMEN SEXUAL,
VIOLACION Y ROBO DE VEHICULO,VIOLACI√ìN,CRIMEN SEXUAL,
